BibID,Shelfmark,Title,Full Coverage?,Facets,
9968529323503681,CAJS Rar Ms 125,[al-Aḥādīth = Hadiths].,,"Arabic, 16th century, 1515, Detached leaves Manuscripts, Arabic - 16th century Manuscripts, Renaissance, Hadith Qalqashandī, Ibrāhīm ibn ʻAlī, -1516 or 1517, Qalqashandī, Ibrāhīm ibn ʻAlī, -1516 or 1517, Paper, , 1515.",
9968529323503681,CAJS Rar Ms 125,[al-Aḥādīth = Hadiths].,,"16th century, Paper, Fragment, Arabic, Islamic, Hadith",
9968529583503681,CAJS Rar Ms 126,Kitāb al-Shifā bi-taʻrīf ḥuqūq al-Muṣṭafá / ʻIyāḍ ibn Mūsa. Shifā bi-taʻrīf ḥuqūq al-Muṣṭafá,,"Arabic, 15th century, 1428, Codices Manuscripts, Arabic - 15th century Manuscripts, Renaissance, Hadith Islam Muḥammad, Prophet, -632 Religious life, ʻIyāḍ ibn Mūsá, 1083-1149, Paper, , 1428.",
9968529583503681,CAJS Rar Ms 126,Kitāb al-Shifā bi-taʻrīf ḥuqūq al-Muṣṭafá / ʻIyāḍ ibn Mūsa. Shifā bi-taʻrīf ḥuqūq al-Muṣṭafá,,"15th century, Arabic, Hadith, Islamic, Paper",
9924282513503681,CAJS Rar Ms 13,"Bible. Joshua IV, 18-VIII, 6. [Fragment of Joshua, chapters IV, 18-VIII, 6.].",,"Hebrew, 13th century 14th century, 1200, Detached leaves Manuscripts, Digital Manuscripts, Hebrew - 13th century Manuscripts, Hebrew - 14th century Manuscripts, Medieval, Parchment, , [ 1200-1399?]",
9924282513503681,CAJS Rar Ms 13,"Bible. Joshua IV, 18-VIII, 6. [Fragment of Joshua, chapters IV, 18-VIII, 6.].",,"13th century, 14th century, Jewish, Damage",
9968530023503681,CAJS Rar Ms 132,[Islamic prayers].,,"Arabic, 16th century, 15uu, Codices Drawings (visual works) Manuscripts, Arabic - 16th century Manuscripts, Renaissance Prayers (documents), Paper, , [between 1500 and 1599?]",
9968530023503681,CAJS Rar Ms 132,[Islamic prayers].,,"16th century, Diagram, Document, Arabic, Islamic",
9944235503503681,CAJS Rar Ms 137,"Kitāb Rawḍ al-rayāḥīn fī ḥikāyāt al-ṣāliḥīn, 1402. Rawḍ al-rayāḥīn fī ḥikāyāt al-ṣāliḥīn",N,"Arabic, 15th century, 1402, Codices Manuscripts, Arabic - 15th century Manuscripts, Renaissance, Muslims, Yāfiʻī, ʻAbd Allāh ibn Asʻad, -1367, Paper, , A.H. 804 (1402)",
9944235503503681,CAJS Rar Ms 137,"Kitāb Rawḍ al-rayāḥīn fī ḥikāyāt al-ṣāliḥīn, 1402. Rawḍ al-rayāḥīn fī ḥikāyāt al-ṣāliḥīn",N,"15th century, Paper, Arabic, Literature -- Prose, Biography",
9968530723503681,CAJS Rar Ms 142,Muntahá al-irādāt fī jamʻ al-Muqniʻ maʻa al-tanqīḥ wa-ziyādāt / al-Ḥanbalī.,,"Arabic, 16th century, 1536, Manuscripts, Arabic - 16th century Manuscripts, Renaissance, Hanbalites Islamic law, Ibn al-Najjār, Taqī al-Dīn Muḥammad ibn Aḥmad, 1492 or 1493-1564 or 1565, Paper, , 1536.",
9968530723503681,CAJS Rar Ms 142,Muntahá al-irādāt fī jamʻ al-Muqniʻ maʻa al-tanqīḥ wa-ziyādāt / al-Ḥanbalī.,,"16th century, Arabic, Islamic, Paper, Legal",
9968531063503681,CAJS Rar Ms 143,[Hidāyah]. Hidāyah,,"Arabic, 16th century, 15uu, Codices Commentaries Manuscripts, Arabic - 16th century Manuscripts, Renaissance, Hanafites Islamic law Marghīnānī, ʻAlī ibn Abī Bakr, -1196 or 1197, Marghīnānī, ʻAlī ibn Abī Bakr, -1196 or 1197, Paper, , [between 1500 and 1599]",
9968531063503681,CAJS Rar Ms 143,[Hidāyah]. Hidāyah,,"16th century, Paper, Commentary, Islamic, Arabic, Legal",
9968531323503681,CAJS Rar Ms 147,[Commentary on Manār al-anwār fī al-uṣūl].,,"Arabic, 16th century, 15uu, Codices Commentaries Manuscripts, Arabic - 16th century Manuscripts, Renaissance, Hanafites Interpretation and construction Islamic law Nasafī, ʻAbd Allāh ibn Aḥmad, -1310, Paper, , [between 1500 and 1599?]",
