BibID,Shelfmark,Title,Full Coverage?,Facets
9915804523503681,Ms. Codex 110,[Alchemical miscellany] [manuscript].,N,"15th century, Science, Alchemy, English, England, History, Paper"
9944799583503681,Ms. Codex 1477,Istruzioni a voi Signor Pietro d'Agostino della relazione che s'aver à Sua Maestà delle cose di Sicilia [manuscript].,,"Accounts, 16th century, 17th century, Italian, Paper, Italy"
9915806223503681,Ms. Codex 78,"[Miscellany of works on Catholic doctrine, canon law and religious life] [manuscript].",N,"15th century, Germany, Paper, Christian, Devotion, German, Treatise"
9931755613503681,Ms. Codex 827,[De improbatione concentricorum et epicyclorum ... etc.] [manuscript].,,"14th century, England, English, Astronomy, Diagrams, Astrology"
